Date,State,County,BEVCount,PHEVCount,EVTotal,NonEVTotal
2021-04-30,WA,Thurston,0,0,0,56710
2017-10-31,WA,Adams,3,3,6,12283
2018-07-31,WA,Whatcom,2,0,2,42313
2019-08-31,WA,Grays Harbor,0,0,0,20570
2019-10-31,WA,Cowlitz,0,0,0,29023
2018-06-30,WA,Spokane,340,316,656,303132
2018-03-31,WA,Kittitas,0,0,0,13984
2022-11-30,CA,Solano,2,0,2,146
2018-03-31,WA,Thurston,518,432,950,191158
2021-11-30,WA,Whitman,66,58,124,21959
2019-04-30,WA,Pierce,1692,1486,3178,540913
2018-12-31,WA,Franklin,0,0,0,19057
2022-09-30,WA,Pend Oreille,0,0,0,5638
2017-05-31,WA,Thurston,390,334,724,186064
2018-07-31,WA,Whatcom,637,318,955,147985
2018-09-30,WA,Cowlitz,63,85,148,72024
2017-07-31,WA,Pierce,986,856,1842,524592
2019-01-31,WA,San Juan,0,0,0,5802
2023-06-30,WA,Thurston,60,0,60,53269
2023-02-28,CA,Santa Clara,8,2,10,163
2022-12-31,CA,San Joaquin,1,0,1,75
2022-05-31,WA,Kittitas,248,79,327,29757
2017-10-31,WA,Mason,0,0,0,19470
2020-05-31,WA,Chelan,228,78,306,54111
2022-03-31,WA,Whatcom,4,0,4,43546
2017-03-31,WA,Pacific,6,8,14,15078
2022-10-31,WA,Walla Walla,190,107,297,35711
2022-06-30,CA,San Joaquin,1,1,2,85
2021-06-30,WA,Jefferson,331,184,515,24891
2022-02-28,WA,Pacific,58,65,123,16024
2019-04-30,WA,Clark,0,0,0,80105
2018-06-30,WA,Garfield,0,0,0,950
2019-08-31,WA,Mason,130,127,257,47429
2017-08-31,CA,Tuolumne,0,1,1,14
2017-05-31,WA,Klickitat,22,24,46,14787
2017-08-31,WA,Lincoln,1,5,6,7571
2018-08-31,WA,Garfield,1,1,2,1318
2020-12-31,WA,Lincoln,0,0,0,4673
2017-04-30,WA,Island,108,128,236,59768
2018-06-30,WA,Lewis,0,0,0,25481
2021-06-30,CA,Ventura,1,2,3,255
2019-04-30,WA,Grant,0,0,0,26430
2021-10-31,WA,Kitsap,2042,916,2958,180643
2017-09-30,WA,Kittitas,33,21,54,27988
2019-12-31,WA,Asotin,14,9,23,12679
2022-10-31,WA,Pend Oreille,18,12,30,9012
2017-08-31,WA,Asotin,8,5,13,12444
2021-01-31,WA,Asotin,0,0,0,6690
2019-06-30,CA,Santa Clara,5,2,7,364
2021-01-31,WA,Mason,179,137,316,47690
2021-10-31,WA,Ferry,11,3,14,4446
2022-12-31,WA,Stevens,2,0,2,18846
2018-08-31,WA,Whatcom,653,321,974,148265
2019-10-31,WA,Douglas,63,38,101,28272
2020-08-31,WA,Klickitat,0,0,0,8105
2023-06-30,CA,Santa Barbara,1,0,1,58
2020-01-31,CA,Los Angeles,8,11,19,1058
2017-04-30,WA,Clark,0,0,0,77561
2019-02-28,WA,Grays Harbor,0,0,0,20318
2021-01-31,WA,Whitman,0,0,0,8512
2021-03-31,CA,Sacramento,2,0,2,232
2017-12-31,WA,Wahkiakum,0,2,2,2860
2020-05-31,CA,Contra Costa,3,2,5,318
2019-03-31,WA,Douglas,0,0,0,12157
2022-11-30,WA,Whitman,109,65,174,21989
2017-12-31,WA,Franklin,0,0,0,18492
2022-09-30,WA,Douglas,1,0,1,12781
2017-12-31,WA,San Juan,132,43,175,13853
2019-04-30,WA,Wahkiakum,0,0,0,1733
2020-12-31,WA,Clallam,1,0,1,21831
2017-08-31,WA,Thurston,0,0,0,53429
2021-01-31,WA,Adams,0,0,0,5347
2017-05-31,WA,Skamania,0,0,0,3863
2017-01-31,WA,Garfield,0,0,0,941
2022-08-31,WA,Pierce,34,0,34,140861
2018-09-30,WA,Walla Walla,0,0,0,13492
2020-09-30,WA,Cowlitz,157,120,277,72161
2021-12-31,WA,Benton,0,0,0,43707
2022-04-30,WA,Whitman,0,0,0,8586
2021-03-31,CA,San Francisco,1,1,2,90
2021-07-31,WA,San Juan,443,139,582,14241
2021-05-31,WA,Adams,0,0,0,5374
2020-12-31,WA,Columbia,0,0,0,1543
2017-02-28,WA,Columbia,0,1,1,2337
2021-12-31,WA,Lewis,206,164,370,59615
2021-06-30,WA,Snohomish,5886,2048,7934,540300
2019-01-31,WA,Ferry,3,2,5,4388
2022-03-31,WA,Cowlitz,293,172,465,71084
2019-05-31,WA,Skagit,292,200,492,91700
2018-01-31,WA,Garfield,0,0,0,945
2017-05-31,WA,King,9796,3990,13786,1377129
2021-08-31,CA,San Diego,17,7,24,2518
2023-01-31,WA,Chelan,15,0,15,23105
2022-09-30,WA,Walla Walla,2,0,2,13946
2018-03-31,CA,Los Angeles,5,4,9,1180
2021-09-30,WA,Walla Walla,0,0,0,14076
2018-05-31,WA,Wahkiakum,0,0,0,1674
2020-11-30,WA,Adams,10,6,16,12942
2020-08-31,CA,Alameda,2,0,2,266
2020-07-31,WA,Snohomish,4583,1775,6358,535609
2022-11-30,WA,Grays Harbor,242,161,403,48681
2018-04-30,WA,Lincoln,0,0,0,4532
2021-04-30,WA,Snohomish,1,0,1,126400
2019-08-31,WA,Stevens,22,29,51,31707
2018-05-31,WA,Whitman,0,0,0,8470
2023-06-30,WA,Spokane,40,0,40,100674
2019-01-31,WA,Okanogan,0,0,0,16477
2023-02-28,CA,Santa Cruz,1,0,1,12
2022-12-31,WA,Snohomish,10174,2763,12937,530310
2021-07-31,WA,Okanogan,0,0,0,16751
2021-11-30,CA,Orange,5,2,7,384
2021-05-31,WA,Ferry,9,3,12,4373
2017-12-31,WA,Jefferson,0,0,0,9475
2020-03-31,WA,Douglas,0,0,0,12333
2018-04-30,CA,Santa Clara,6,1,7,380
2020-05-31,WA,Spokane,1,0,1,97688
2021-06-30,WA,Stevens,45,45,90,30479
2017-09-30,WA,Ferry,0,0,0,3538
2019-02-28,WA,Garfield,0,0,0,961
2021-03-31,WA,Clallam,1,0,1,21955
2022-07-31,WA,Pacific,0,0,0,7881
2020-07-31,WA,Pacific,33,33,66,15766
2021-08-31,WA,Island,0,0,0,21590
2021-05-31,WA,Adams,11,9,20,13043
2018-07-31,WA,Skagit,1,0,1,32118
2021-03-31,WA,Skagit,1,0,1,32932
2023-04-30,CA,Kings,2,1,3,264
2023-02-28,CA,Monterey,1,1,2,113
2018-01-31,WA,Walla Walla,0,0,0,13323
2018-06-30,WA,Pierce,1228,1173,2401,532275
2018-10-31,WA,Island,0,0,0,21130
2021-05-31,WA,Lincoln,5,13,18,7733
2023-02-28,CA,Solano,4,0,4,135
2017-02-28,WA,Pacific,5,6,11,14997
2020-08-31,WA,Pacific,0,0,0,7724
2022-12-31,WA,Lewis,1,0,1,26311
2020-11-30,WA,Walla Walla,95,66,161,36066
2021-05-31,WA,Whatcom,1386,596,1982,150988
2021-11-30,WA,Spokane,1262,748,2010,327064
2019-12-31,WA,Jefferson,0,0,0,9647
2021-04-30,WA,Skagit,1,0,1,33024
2018-07-31,WA,Grays Harbor,0,0,0,20227
2021-12-31,WA,Pend Oreille,0,0,0,5703
2018-03-31,WA,Pend Oreille,4,3,7,9455
2018-08-31,WA,Snohomish,2471,1311,3782,523635
2022-12-31,WA,Stevens,90,56,146,30021
2021-08-31,WA,Columbia,0,0,0,1539
2017-11-30,WA,Ferry,1,3,4,4408
2022-06-30,WA,Clallam,3,0,3,21937
2023-03-31,WA,Benton,1041,531,1572,135436
2018-01-31,WA,Klickitat,0,0,0,8000
2020-04-30,CA,Placer,2,0,2,89
2020-11-30,CA,Riverside,4,1,5,598
2021-05-31,CA,San Joaquin,1,0,1,105
2017-11-30,WA,Okanogan,5,17,22,25731
2022-01-31,WA,Douglas,118,56,174,28586
2022-08-31,WA,Thurston,17,0,17,55162
2018-08-31,WA,Jefferson,0,0,0,9623
2018-04-30,WA,Franklin,0,0,0,18597
2017-02-28,WA,Island,100,122,222,59448
2018-09-30,WA,Skagit,222,176,398,90860
2018-07-31,WA,Pacific,0,0,0,7611
2021-10-31,CA,Monterey,0,1,1,142
2020-08-31,WA,King,5,1,6,183316
2022-02-28,WA,Whatcom,1690,685,2375,149351
2023-07-31,CA,San Bernardino,2,1,3,231
2022-12-31,CA,Napa,0,1,1,9
2020-04-30,WA,King,24085,7696,31781,1386024
2019-09-30,WA,Cowlitz,106,106,212,73309
2023-02-28,WA,Skagit,987,377,1364,89175
2017-10-31,WA,Pend Oreille,3,4,7,9370
2017-03-31,WA,Kittitas,17,16,33,27117
2019-12-31,WA,Clallam,196,157,353,50869
2023-07-31,WA,Skagit,1139,417,1556,86446
2019-11-30,WA,Asotin,13,8,21,12655
2021-05-31,WA,Pend Oreille,0,0,0,5748
2022-10-31,WA,Ferry,24,4,28,4384
2021-06-30,WA,Mason,0,0,0,21335
2023-06-30,WA,Lincoln,0,0,0,4817
2022-03-31,WA,Okanogan,77,46,123,26522
2018-02-28,WA,Mason,0,0,0,19725
2018-12-31,WA,Snohomish,1,0,1,121967
2020-04-30,WA,Pend Oreille,0,0,0,5739
2020-05-31,WA,Pacific,0,0,0,7625
2022-07-31,WA,Clark,4229,1806,6035,315632
2018-07-31,WA,Okanogan,0,0,0,16423
2019-01-31,CA,Ventura,0,2,2,314
2020-07-31,CA,Monterey,0,1,1,162
2017-03-31,WA,Lincoln,0,0,0,4469
2018-11-30,WA,Kittitas,61,34,95,29286
2018-04-30,CA,Los Angeles,6,4,10,1172
2020-03-31,WA,Adams,7,7,14,12891
2023-07-31,WA,Grays Harbor,311,192,503,47081
2021-07-31,WA,Benton,0,0,0,43648
2017-08-31,WA,Kitsap,637,336,973,173831
2018-05-31,WA,Skagit,198,163,361,90254
2020-11-30,WA,Pend Oreille,0,0,0,5718
2020-12-31,WA,Benton,0,0,0,43207
2019-01-31,WA,Stevens,0,0,0,18768
2020-06-30,WA,Pacific,33,33,66,15754
2019-05-31,CA,Santa Clara,7,1,8,366
2023-01-31,CA,San Joaquin,1,0,1,74
2020-12-31,WA,Chelan,278,88,366,54504
2022-04-30,WA,Cowlitz,0,1,1,28734
2018-06-30,WA,Clallam,0,0,0,21442
2019-07-31,CA,Riverside,3,2,5,653
2023-07-31,WA,Chelan,31,0,31,22570
2017-08-31,WA,Walla Walla,0,0,0,13188
2018-12-31,WA,Skamania,16,13,29,8731
2017-10-31,CA,Monterey,0,2,2,193
2017-05-31,CA,Alameda,1,1,2,372
2023-06-30,WA,Clark,5813,2318,8131,309808
2019-04-30,WA,Wahkiakum,1,1,2,3014
2020-07-31,WA,Skamania,0,0,0,4032
2020-11-30,CA,Santa Cruz,1,0,1,29
2018-02-28,WA,Grant,31,38,69,62313
2019-01-31,WA,Island,0,0,0,21211
2020-04-30,WA,Pierce,2347,1682,4029,548871
2017-06-30,WA,Ferry,0,0,0,3537
2019-12-31,WA,Grant,0,0,0,27002
2018-02-28,WA,Pacific,15,17,32,15463
2021-10-31,WA,Snohomish,2,0,2,125795
2023-03-31,WA,Okanogan,114,58,172,26014
2018-03-31,WA,Okanogan,0,0,0,16333
2020-02-29,CA,Santa Cruz,1,0,1,36
2021-10-31,WA,Stevens,0,0,0,18891
2021-06-30,WA,Chelan,336,99,435,54745
2022-10-31,CA,Santa Cruz,1,0,1,19
2021-01-31,WA,San Juan,377,113,490,14023
2017-11-30,WA,Pacific,0,0,0,7535
2022-01-31,WA,Whatcom,3,0,3,43614
2019-02-28,WA,Benton,233,245,478,132999
2022-12-31,WA,Pacific,74,80,154,15740
2022-09-30,WA,Skagit,869,349,1218,89712
2020-11-30,WA,Skamania,33,21,54,8305
2021-05-31,WA,Kitsap,0,0,0,54547
2018-08-31,CA,Los Angeles,7,4,11,1136
2017-10-31,WA,Grant,20,33,53,61666
2019-06-30,WA,Franklin,52,70,122,59912
2022-06-30,CA,San Mateo,2,0,2,78
2020-11-30,WA,San Juan,0,0,0,5866
2021-06-30,WA,Snohomish,1,0,1,126272
2017-03-31,WA,Skagit,1,0,1,31426
2023-02-28,WA,Cowlitz,424,193,617,70210
2023-01-31,WA,Clark,5070,2078,7148,314583
2020-05-31,WA,Wahkiakum,6,6,12,2965
2017-11-30,WA,Clallam,0,0,0,21181
2018-01-31,WA,Spokane,300,255,555,300795
2022-11-30,WA,Whatcom,2054,800,2854,148864
2018-01-31,WA,Clark,0,0,0,78578
2020-09-30,WA,Mason,0,0,0,20804
2022-01-31,WA,Asotin,0,0,0,6736
2018-08-31,WA,Douglas,45,31,76,27791
2019-10-31,WA,Whatcom,949,470,1419,151478
2017-11-30,WA,Skagit,1,0,1,31687
2018-02-28,WA,Wahkiakum,0,0,0,1673
2019-02-28,WA,Whatcom,785,380,1165,149641
2023-01-31,WA,Island,955,401,1356,61553
2018-07-31,WA,Stevens,11,25,36,31650
2021-07-31,CA,San Diego,17,7,24,2530
2019-08-31,WA,Franklin,0,0,0,19494
2017-04-30,WA,Jefferson,98,56,154,23744
2021-09-30,WA,Lewis,0,0,0,26704
2020-09-30,WA,Adams,0,0,0,5309
2017-10-31,WA,Garfield,0,0,0,943
2020-04-30,WA,Garfield,0,0,0,968
2017-10-31,WA,Thurston,0,0,0,53577
2017-01-31,WA,Skagit,1,0,1,31404
2018-04-30,WA,Grays Harbor,47,52,99,46287
2019-07-31,WA,Whatcom,2,0,2,42929
2021-06-30,WA,Spokane,0,0,0,102350
2019-05-31,WA,Skamania,0,0,0,4052
2021-11-30,WA,Douglas,106,53,159,28610
2022-03-31,CA,San Bernardino,1,1,2,337
2022-09-30,WA,Grays Harbor,224,166,390,48799
2023-02-28,WA,Benton,15,0,15,43323
2020-03-31,WA,Walla Walla,68,63,131,36237
2020-06-30,WA,Wahkiakum,0,0,0,1737
2022-09-30,WA,Thurston,2380,1102,3482,192946
2020-10-31,WA,Whitman,50,46,96,21981
2023-07-31,WA,Yakima,13,0,13,58999
2018-09-30,WA,Klickitat,24,32,56,15362
2019-05-31,WA,Snohomish,3372,1572,4944,530335
2018-04-30,WA,Ferry,0,0,0,3499
2022-10-31,WA,Mason,350,187,537,46978
2022-09-30,CA,Ventura,2,1,3,218
2019-11-30,WA,Wahkiakum,4,3,7,3037
2018-01-31,WA,Cowlitz,54,69,123,70972
2020-08-31,WA,Yakima,146,122,268,166128
2017-12-31,WA,Lincoln,2,5,7,7569
2020-01-31,CA,Riverside,4,1,5,641
2019-12-31,WA,Douglas,67,38,105,28299
2019-03-31,WA,Grays Harbor,69,80,149,47589
2020-09-30,WA,Skamania,0,0,0,4005
2017-05-31,WA,Walla Walla,0,0,0,13189
2023-04-30,WA,Mason,417,204,621,46162
2018-02-28,WA,Island,0,0,0,20828
2022-07-31,WA,Cowlitz,2,0,2,28483
2020-04-30,WA,Cowlitz,0,0,0,28765
2018-01-31,WA,Franklin,31,51,82,57013
2017-04-30,WA,Yakima,0,0,0,57219
2017-09-30,WA,Pierce,1012,898,1910,525165
2017-12-31,WA,Okanogan,7,18,25,25740
2018-12-31,WA,Wahkiakum,1,1,2,2979
2018-12-31,WA,Kitsap,946,544,1490,179830
2023-05-31,WA,King,684,2,686,174691
2020-05-31,WA,Columbia,4,3,7,2405
2022-11-30,WA,King,337,2,339,179007
2019-07-31,CA,San Diego,10,3,13,2733
2021-02-28,CA,San Joaquin,1,0,1,108
2020-07-31,WA,Whitman,45,49,94,22124
2017-02-28,WA,Clark,0,0,0,77521
2020-07-31,CA,San Diego,14,5,19,2756
2022-03-31,WA,Columbia,6,0,6,2448
2017-08-31,CA,Sacramento,1,0,1,345
2019-10-31,WA,Asotin,12,8,20,12644
2022-12-31,WA,Wahkiakum,26,13,39,3037
2018-04-30,CA,Riverside,2,2,4,706
2017-08-31,WA,Lewis,0,0,0,25013
2021-10-31,WA,Island,0,0,0,21569
2020-11-30,WA,Clallam,262,176,438,49872
2017-11-30,CA,Monterey,0,2,2,196
2019-05-31,WA,Asotin,12,8,20,12675
2022-07-31,WA,Grays Harbor,214,162,376,48927
2022-08-31,WA,Yakima,1,0,1,61393
2023-05-31,CA,Kern,1,1,2,164
2020-10-31,CA,Santa Clara,5,2,7,270
2019-11-30,WA,Grant,0,0,0,26953
2020-12-31,WA,Whitman,0,0,0,8508
2017-10-31,CA,Contra Costa,0,1,1,489
2021-09-30,WA,Grant,125,97,222,66876
2022-10-31,CA,Kern,1,1,2,186
2018-04-30,WA,Spokane,1,0,1,92061
2019-09-30,WA,King,20421,7282,27703,1394905
2018-06-30,WA,Jefferson,0,0,0,9548
2017-01-31,WA,Adams,1,1,2,12175
2018-09-30,WA,Ferry,0,0,0,3559
2022-01-31,WA,Garfield,0,0,0,995
2022-09-30,WA,Whitman,96,64,160,21991
2021-03-31,WA,Yakima,188,135,323,168230
2017-04-30,WA,Skamania,0,0,0,3874
2018-02-28,CA,San Mateo,0,1,1,138
2019-12-31,WA,Whitman,0,0,0,8579
2022-06-30,CA,Sonoma,0,1,1,74
2022-10-31,WA,Yakima,394,214,608,166433
2018-06-30,WA,King,13167,5678,18845,1371166
2017-07-31,WA,Walla Walla,0,0,0,13177
2018-03-31,WA,Chelan,0,0,0,21720
2019-04-30,WA,Yakima,93,103,196,164616
2017-02-28,WA,Cowlitz,50,46,96,69052
2022-01-31,CA,San Joaquin,1,1,2,90
2017-01-31,WA,Skamania,0,0,0,3908
2021-12-31,WA,Lincoln,0,0,0,4823
2018-10-31,CA,San Mateo,1,1,2,128
2017-08-31,CA,Los Angeles,3,2,5,1251
2018-02-28,WA,Skagit,1,0,1,31814
2019-09-30,WA,Wahkiakum,2,3,5,3049
2018-12-31,WA,Pacific,21,25,46,15834
2023-02-28,WA,Ferry,0,0,0,3565
2019-07-31,WA,Pend Oreille,0,0,0,5730
2017-12-31,CA,Marin,1,0,1,58
2021-10-31,WA,Chelan,0,0,0,23075
2021-03-31,WA,Pacific,39,40,79,15920
2017-01-31,WA,Kitsap,556,262,818,172401
2023-04-30,CA,Marin,0,1,1,26
2023-07-31,WA,King,58610,14725,73335,1297605
2021-11-30,WA,Benton,0,0,0,43650
2017-08-31,WA,Franklin,0,0,0,18234
2017-04-30,WA,Whitman,9,19,28,21964
2018-12-31,WA,Grays Harbor,62,72,134,47465
2020-03-31,CA,San Mateo,0,1,1,114
2021-06-30,WA,Whatcom,1419,602,2021,150844
2019-10-31,WA,Clark,1782,1016,2798,316964
2017-10-31,WA,Wahkiakum,0,0,0,1672
2020-07-31,CA,Sacramento,1,0,1,262
2021-08-31,CA,San Francisco,0,1,1,84
2022-07-31,WA,Pend Oreille,18,12,30,9043
2022-01-31,WA,Whatcom,1665,673,2338,149528
2020-01-31,CA,San Diego,10,5,15,2781
2021-02-28,WA,Island,546,296,842,62878
2017-01-31,CA,Los Angeles,3,1,4,1470
2020-02-29,CA,San Diego,11,5,16,2780
2018-12-31,CA,Tuolumne,0,1,1,13
2018-02-28,WA,Asotin,8,5,13,12588
2017-11-30,WA,Klickitat,0,0,0,8002
2021-10-31,WA,Walla Walla,132,82,214,36363
2023-06-30,WA,Ferry,21,4,25,4268
2021-03-31,WA,Pacific,0,0,0,7879
2022-11-30,CA,Orange,6,2,8,304
2022-07-31,CA,Santa Clara,10,2,12,207
2021-11-30,CA,Riverside,5,1,6,502
2021-06-30,CA,San Mateo,1,0,1,99
2020-01-31,WA,Snohomish,0,0,0,123641
2022-11-30,WA,Wahkiakum,25,13,38,3045
2017-08-31,WA,Ferry,0,0,0,3532
2017-06-30,WA,Grays Harbor,35,31,66,44778
2017-04-30,WA,Clark,755,471,1226,298474
2021-08-31,WA,Snohomish,6310,2137,8447,539419
2020-05-31,CA,San Diego,14,5,19,2741
2017-04-30,WA,Adams,2,3,5,12128
2021-06-30,WA,Pacific,45,53,98,16057
2018-12-31,WA,Asotin,12,9,21,12724
2023-07-31,WA,Yakima,511,253,764,161420
2021-06-30,WA,King,30495,9167,39662,1368513
2022-12-31,WA,Ferry,24,4,28,4344
2020-09-30,WA,Grant,0,0,0,27301
2020-04-30,CA,San Diego,13,5,18,2764
2018-02-28,WA,Garfield,0,0,0,942
2017-05-31,WA,Chelan,0,0,0,21248
2019-07-31,CA,Fresno,1,0,1,193
2017-07-31,WA,Franklin,26,47,73,55735
2023-03-31,CA,Riverside,6,0,6,375
2018-10-31,WA,Columbia,2,2,4,2432
2022-06-30,WA,Whitman,1,0,1,8572
2017-08-31,WA,Asotin,0,0,0,6515
2019-12-31,WA,Columbia,3,3,6,2449
2018-03-31,WA,Cowlitz,0,0,0,28271
2022-01-31,WA,King,36353,10406,46759,1356535
2023-07-31,WA,Stevens,2,0,2,18253
2021-05-31,WA,Clallam,1,0,1,22005
2022-03-31,WA,Skagit,731,326,1057,90496
2019-06-30,WA,Mason,124,122,246,47188
2021-12-31,WA,Benton,639,445,1084,136113
2021-12-31,WA,Grant,0,0,0,27999
2023-03-31,CA,Los Angeles,4,5,9,602
2017-12-31,CA,Orange,3,1,4,576
2018-01-31,WA,Benton,175,179,354,130623
2017-07-31,WA,Clark,0,0,0,77737
2023-01-31,CA,Santa Clara,9,2,11,167
2021-04-30,WA,Douglas,88,46,134,28472
2020-07-31,WA,Snohomish,0,0,0,124342
2022-01-31,WA,Walla Walla,146,89,235,36290
2023-05-31,WA,Adams,2,0,2,5262
2021-04-30,WA,Columbia,0,0,0,1560
2022-07-31,WA,Benton,780,462,1242,135328
2018-05-31,WA,Douglas,0,0,0,11900
2019-11-30,WA,Skamania,0,0,0,4096
2023-02-28,WA,Lewis,4,0,4,26200
2021-10-31,WA,Grays Harbor,0,0,0,21396
2019-01-31,WA,Adams,0,0,0,5142
2020-06-30,WA,Franklin,60,76,136,60644
2019-05-31,WA,Grant,39,59,98,64561
2019-10-31,CA,Shasta,1,0,1,40
2020-06-30,WA,King,24109,7712,31821,1371025
2020-07-31,WA,Pierce,2467,1697,4164,551463
2018-03-31,WA,Cowlitz,55,70,125,71222
2018-02-28,WA,Walla Walla,31,35,66,35386
2023-07-31,WA,Pend Oreille,30,15,45,8645
2018-04-30,WA,Yakima,0,0,0,58216
2017-02-28,CA,San Mateo,0,1,1,165
2017-02-28,CA,Santa Clara,5,3,8,424
2020-10-31,CA,Orange,5,3,8,461
2019-07-31,WA,Walla Walla,52,61,113,36208
2022-09-30,WA,King,43484,11789,55273,1345189
2023-06-30,CA,Sonoma,1,1,2,45
2020-10-31,CA,Placer,2,0,2,85
2021-11-30,WA,Mason,255,158,413,47799
2018-09-30,WA,Whatcom,2,0,2,42433
2020-03-31,WA,Walla Walla,0,0,0,13647
2019-04-30,WA,Whitman,29,45,74,22711
2018-06-30,CA,Tuolumne,0,1,1,11
2019-10-31,WA,Ferry,5,2,7,4425
2022-11-30,WA,Franklin,246,117,363,61801
2018-06-30,WA,Skagit,1,0,1,32042
2020-12-31,WA,Whitman,51,44,95,21905
2017-11-30,WA,Jefferson,0,0,0,9461
2018-03-31,WA,Stevens,0,0,0,18427
2018-07-31,WA,Lewis,0,0,0,25583
2021-10-31,WA,Klickitat,87,51,138,15357
2021-07-31,WA,Jefferson,0,0,0,9618
2022-01-31,WA,Stevens,58,47,105,30190
2023-02-28,WA,Clark,5174,2109,7283,313862
2021-04-30,WA,Walla Walla,108,71,179,36527
2020-01-31,WA,Whitman,42,48,90,22664
2017-09-30,WA,Grant,20,33,53,61457
2021-06-30,WA,Chelan,0,0,0,23127
2019-10-31,CA,Santa Cruz,1,0,1,36
2020-09-30,WA,Walla Walla,0,0,0,13789
2022-11-30,WA,Douglas,162,59,221,28510
2017-11-30,WA,Franklin,31,48,79,56681
2022-06-30,WA,Yakima,1,0,1,61408
2021-10-31,CA,Ventura,2,1,3,248
2022-06-30,CA,Los Angeles,8,8,16,745
2022-10-31,CA,Solano,2,0,2,148
2020-10-31,WA,Clark,2212,1121,3333,318837
2017-04-30,WA,Franklin,27,47,74,55348
2021-03-31,WA,San Juan,394,123,517,14117
2021-07-31,WA,Snohomish,6126,2100,8226,539757
2020-09-30,WA,Pacific,32,34,66,15716
2021-11-30,WA,Benton,625,435,1060,136011
2020-10-31,WA,Stevens,0,0,0,18696
2021-10-31,WA,Cowlitz,0,1,1,29069
2018-08-31,WA,Whitman,20,30,50,22680
2020-10-31,WA,Thurston,0,0,0,56300
2021-09-30,CA,Orange,5,2,7,397
2020-01-31,WA,Okanogan,32,30,62,26220
2020-06-30,WA,Island,1,0,1,21212
2020-10-31,WA,Whatcom,1169,531,1700,149671
